Identifier,Competency Question
CQ-1,In which status is the procedure?
CQ-2,Which is the role/access rights of a user with respect to a certain procedure?
CQ-3,What role did the user have at this specific moment in time?
CQ-4,Which are the sub-parts (steps or group of steps) of a procedure that can be reused for other procedures?
CQ-5,Which are the steps of a procedure that may not be executed (optional / alternative steps)?
CQ-6,"Which is the template procedure (i.e., abstract procedure) corresponding to one (or more than one) procedure that can be actually executed?"
CQ-7,Which are the media/documents related to a procedure?
CQ-8,Which are the media/documents related to a step of a procedure?
CQ-9,"Which are the media/documents related to the object (e.g., a machine) involved in a certain procedure?"
CQ-10,When was a media/document created/modified?
CQ-11,Which is the author of a procedure?
CQ-12,"Who changed the status of a procedure, and when?"
CQ-13,Which are the procedures associated with a certain keyword?
CQ-14,Which are the sub-steps of a procedure that may be not useful for an expert user?
CQ-15,In which status is the execution of a procedure?
CQ-16,"When did the execution of a certain (step of a) procedure start, and when did it end? "
CQ-17,Which errors/problems/issues have been encountered during the execution of (a step of) a procedure?
CQ-18,Was the execution of a step confirmed by the user or by the machine?
CQ-19,What is the time usually required to perform a (step of a) procedure? 
CQ-20,Which is the cause identified by the user for a problem/error arisen during execution?
CQ-21,How was a problem/error solved during execution?
CQ-22,What are the versions of a certain procedure?
CQ-23,What was the motivation for creating a new version of a procedure?
CQ-24,Who created/validated/implemented a new version of a procedure and when?
CQ-25,"Which feedback has been given about a procedure (during or at the end of its execution), and by whom?"
CQ-26,Which procedures have been executed during a specific time interval?
CQ-27,Which are the steps of a procedure?
CQ-28,Who is executing a (step of a) procedure?
CQ-29,From which data source a piece of information associated with a procedure has been collected?
CQ-30,Which is the category of a FAQ posed by a user?
CQ-31,Which are the FAQs related to (a step of) a procedure?
CQ-32,Which variables affect the way a certain step of the procedure should be executed?
CQ-33,Which is the target of a certain procedure?
CQ-34,Which are the tools required to perform (a step of) a procedure?
CQ-35,Which were the doubts of a user during a specific procedure execution?
CQ-36,Which is the description for a user to execute a certain step?
CQ-37,Which is the previous/next version of the procedure?
CQ-38,Which steps of a procedure have been actually executed during a procedure execution?
CQ-39,Who created the procedure / procedure version?
CQ-40,Who modified the procedure version?
CQ-41,Who modified the procedure version last?
CQ-42,Who is associated with a change of status of a procedure (version) or a procedure execution?
CQ-43,From which and to which status was a procedure (execution) status changed?
CQ-44,Who (specific agent) can manage (= owner) / read / modify / execute a procedure?
CQ-45,Who (user role) can manage (= owner) / read / modify / execute a procedure?
CQ-46,"Who made a request of access to the procedure, and when?"
CQ-47,Which is the status of the request of access to a procedure?
CQ-48,Which is the motivation for the status of the request of access to a procedure?
CQ-49,Which is the requirement associated with a procedure / step / transition between steps?
CQ-50,Which is the type of requirement associated with a procedure / step / transition between steps?
CQ-51,Which is the entity required for a certain requirement associated with a procedure / step / transition between steps?
CQ-52,Which is the requirement satisfaction associated with a procedure / step execution?
CQ-53,To which requirements does a requirement satisfaction refer? 
CQ-54,Which is the level of requirement satisfaction?
CQ-55,From which and to which step is a transition between steps? 
CQ-56,Which is the explanation associated with a transition between steps / step execution?
CQ-57,Which is the step verification associated with a step?
CQ-58,Which is the signal verification associated with a step?
CQ-59,Which is the expected signal value for a signal verification?
CQ-60,Which is the signal identifier for a signal verification?
CQ-61,Which is the current version of a procedure?
CQ-62,Which is the version number of a procedure version?
CQ-63,Which is the changelog description of a procedure version?
CQ-64,Which actions are required to perform a step?
CQ-65,Which functions are required to perform a step?
CQ-66,Which are the input and output variables of a step?
CQ-67,Which is the expected duration of a procedure / step?
CQ-68,Which are the minimum and maximum repetitions allowed for a step?
CQ-69,Which error is addressed by a specific fallback step?
CQ-70,Which is the target of a FAQ?
CQ-71,Which are the question and answer of a FAQ?
